Elapsed Time [s],Pressure [kPa]
0.0,2.49
0.1,2.53
0.2,2.76
0.3,2.34
0.4,3.59
0.5,3.17
0.6,3.17
0.7,3.59
0.8,2.76
0.9,3.59
1.0,3.93
1.1,3.59
1.2,3.93
1.3,3.93
1.4,4.76
1.5,4.76
1.6,5.52
1.7,4.76
1.8,6.34
1.9,5.93
2.0,6.69
2.1,6.34
2.2,6.69
2.3,7.86
2.4,7.10
2.5,7.52
2.6,7.10
2.7,9.86
2.8,9.86
2.9,9.86
3.0,9.86
3.1,9.86
3.2,10.27
3.3,8.27
3.4,10.69
3.5,9.86
3.6,9.10
3.7,11.03
3.8,10.69
3.9,11.44
4.0,11.44
4.1,12.20
4.2,11.44
4.3,12.20
4.4,13.45
4.5,13.03
4.6,13.03
4.7,13.79
4.8,13.45
4.9,13.45
5.0,14.62
5.1,13.03
5.2,13.03
5.3,13.45
5.4,14.62
5.5,14.62
5.6,14.20
5.7,13.79
5.8,15.03
5.9,15.03
6.0,15.37
6.1,15.79
6.2,15.37
6.3,15.03
6.4,16.96
6.5,16.20
6.6,16.96
6.7,17.79
6.8,18.54
6.9,17.79
7.0,17.37
7.1,18.96
7.2,17.79
7.3,17.79
7.4,17.79
7.5,18.96
7.6,18.54
7.7,18.54
7.8,19.72
7.9,19.31
8.0,19.31
8.1,20.89
8.2,20.89
8.3,19.31
8.4,22.47
8.5,20.13
8.6,21.72
8.7,22.13
8.8,21.72
8.9,21.72
9.0,22.13
9.1,22.89
9.2,22.89
9.3,22.13
9.4,22.47
9.5,24.06
9.6,22.89
9.7,23.30
9.8,24.89
9.9,24.48
10.0,24.48
10.1,24.89
10.2,25.23
10.3,25.23
10.4,24.89
10.5,24.89
10.6,26.06
10.7,26.82
10.8,26.06
10.9,26.82
11.0,27.65
11.1,26.06
11.2,27.65
11.3,27.99
11.4,27.65
11.5,27.99
11.6,28.41
11.7,29.99
11.8,28.82
11.9,28.82
12.0,28.82
12.1,29.58
12.2,30.41
12.3,30.75
12.4,29.99
12.5,30.75
12.6,30.41
12.7,29.99
12.8,30.75
12.9,30.75
13.0,31.58
13.1,4.76
13.2,3.17
13.3,4.34
13.4,3.59
13.5,2.76
13.6,3.59
13.7,3.93
13.8,3.17
13.9,3.17
14.0,2.76
14.1,3.17
14.2,2.34
14.3,2.76
14.4,4.34
14.5,3.59
14.6,3.59
14.7,3.23
