,Elapsed Time [s],Pressure [kPa],Diameter [px],Strain,Stress
0,0.0,0.09,147.83,0.00496,0.09666666666666668
1,0.1,0.19,148.73,0.00722,0.145
2,0.2,0.28,149.13,0.010336000000000001,0.194
3,0.3,0.38,149.9,0.015748,0.292
4,0.4,0.48,151.2,0.020754,0.38999999999999996
5,0.5,0.58,151.83,0.025856,0.492
6,0.6,0.68,152.43,0.031307999999999996,0.596
7,0.7,0.79,152.9,0.036002,0.704
8,0.8,0.9,153.93,0.041372,0.8160000000000001
9,0.9,1.02,154.67,0.046702,0.9339999999999999
10,1.0,1.14,155.8,0.052517999999999995,1.056
11,1.1,1.27,156.37,0.058296,1.184
12,1.2,1.4,157.2,0.064114,1.316
13,1.3,1.54,158.2,0.068944,1.454
14,1.4,1.68,158.97,0.07399,1.598
15,1.5,1.83,159.37,0.079268,1.75
16,1.6,1.99,160.1,0.08445,1.9100000000000001
17,1.7,2.16,161.1,0.08963,2.0799999999999996
18,1.8,2.34,162.03,0.09531200000000001,2.258
19,1.9,2.53,162.8,0.10136,2.446
20,2.0,2.72,163.57,0.10690599999999999,2.644
21,2.1,2.93,164.57,0.11200599999999998,2.85
22,2.2,3.15,165.2,0.11768999999999999,3.066
23,2.3,3.37,165.8,0.123414,3.2960000000000003
24,2.4,3.61,167.0,0.128826,3.536
25,2.5,3.87,167.8,0.13419799999999998,3.7879999999999994
26,2.6,4.13,168.57,0.13938,4.054
27,2.7,4.41,169.17,0.14407399999999998,4.3340000000000005
28,2.8,4.7,169.63,0.149444,4.6259999999999994
29,2.9,5.01,170.47,0.15453,4.932
30,3.0,5.33,171.77,0.15944,5.254
31,3.1,5.66,172.33,0.165352,5.590000000000001
32,3.2,6.02,172.8,0.170898,5.942
33,3.3,6.38,174.0,0.17549800000000002,6.3100000000000005
34,3.4,6.77,174.57,0.180464,6.696000000000001
35,3.5,7.17,175.17,0.186146,7.096000000000001
36,3.6,7.59,176.0,0.191056,7.516
37,3.7,8.02,177.0,0.19633399999999998,7.952000000000001
38,3.8,8.48,177.63,0.20182799999999998,8.408000000000001
39,3.9,8.95,178.47,0.20723799999999998,8.882000000000001
40,4.0,9.45,179.23,0.21183800000000003,9.378
41,4.1,9.96,180.0,0.216764,9.892
42,4.2,10.5,180.4,0.220822,10.427999999999999
43,4.3,11.05,181.27,0.225246,10.984
44,4.4,11.63,181.47,0.22948199999999996,11.562000000000001
45,4.5,12.23,182.5,0.23349999999999999,12.16
46,4.6,12.85,183.13,0.23786999999999997,12.782
47,4.7,13.49,183.37,0.242876,13.425999999999998
48,4.8,14.16,184.5,0.24738000000000002,14.094
49,4.9,14.85,185.17,0.251938,14.785999999999998
50,5.0,15.57,185.83,0.257432,15.501999999999999
51,5.1,16.31,186.5,0.262166,16.241999999999997
52,5.2,17.07,187.43,0.267388,17.008
53,5.3,17.86,188.0,0.272584,17.8
54,5.4,18.68,189.03,0.27759,18.618000000000002
55,5.5,19.53,189.67,0.282108,19.464
56,5.6,20.4,190.2,0.28626199999999996,20.338
57,5.7,21.3,190.77,0.289834,21.240000000000002
58,5.8,22.23,191.07,0.294298,22.168
59,5.9,23.19,191.67,0.2994,23.125999999999998
60,6.0,24.17,192.97,0.303864,24.113999999999997
61,6.1,25.19,193.97,0.309222,25.130000000000003
62,6.2,26.24,194.07,0.31585,26.176
63,6.3,27.31,195.03,0.321168,27.253999999999998
64,6.4,28.42,196.57,0.326444,28.362000000000002
65,6.5,29.56,196.9,0.33257400000000004,29.502
66,6.6,30.73,197.87,0.337808,30.676
67,6.7,31.94,198.6,0.341772,31.881999999999998
68,6.8,33.18,198.9,0.34606,33.12
69,6.9,34.45,199.5,0.350564,34.39399999999999
70,7.0,35.75,200.07,0.354122,35.7
71,7.1,37.1,201.2,0.358452,37.04
72,7.2,38.47,201.23,0.363458,38.416000000000004
73,7.3,39.88,202.1,0.368234,39.828
74,7.4,41.33,203.2,0.371792,41.275999999999996
75,7.5,42.81,203.6,0.37604,42.76
76,7.6,44.34,203.83,0.38000399999999995,44.282
77,7.7,45.89,204.37,0.38383399999999995,45.842
78,7.8,47.49,205.03,0.38839199999999996,47.44
79,7.9,49.13,206.03,0.39318200000000003,49.074
80,8.0,50.8,206.97,0.397552,50.75
81,8.1,52.51,207.37,0.40242199999999995,52.464
82,8.2,54.27,207.6,0.40671,54.218
83,8.3,56.06,208.63,0.41053999999999996,56.012
84,8.4,57.9,209.2,0.41486999999999996,57.848
85,8.5,59.77,209.8,0.419334,59.724000000000004
86,8.6,61.69,210.57,0.423312,61.644000000000005
87,8.7,63.65,210.9,0.42713999999999996,63.605999999999995
88,8.8,65.66,211.57,0.43110400000000004,65.612
89,8.9,67.71,212.03,0.43479600000000007,67.66
90,9.0,69.8,212.73,0.43935599999999997,69.752
91,9.1,71.93,213.3,0.44386200000000003,71.888
92,9.2,74.11,214.27,0.448152,74.06800000000001
93,9.3,76.34,214.9,0.452304,76.294
94,9.4,78.61,215.2,0.456228,78.566
95,9.5,80.93,215.8,0.459068,80.88600000000001
96,9.6,83.29,216.2,0.46235400000000004,83.25200000000001
97,9.7,85.71,216.37,0.46609999999999996,85.664
98,9.8,88.17,217.33,0.46966,88.124
99,9.9,90.67,217.97,0.47399,90.63399999999999
100,10.0,93.23,218.43,0.47876599999999997,93.19
101,10.1,95.84,219.4,0.48305600000000004,95.796
102,10.2,98.49,219.9,0.48729200000000006,98.454
103,10.3,101.2,220.5,0.49154,101.162
104,10.4,103.96,221.1,0.49559800000000004,103.92
105,10.5,106.77,221.57,0.500022,106.72999999999999
106,10.6,109.63,222.4,0.5046619999999999,109.59
107,10.7,112.54,223.17,0.5091659999999999,112.502
108,10.8,115.5,223.93,0.5135759999999999,115.46600000000001
109,10.9,118.52,224.43,0.51777,118.48400000000001
110,11.0,121.59,224.83,0.521734,121.556
111,11.1,124.72,225.5,0.5259280000000001,124.68400000000001
112,11.2,127.9,226.1,0.5311239999999999,127.86600000000001
113,11.3,131.14,227.03,0.5347359999999999,131.102
114,11.4,134.43,228.27,0.542218,134.394
