Elapsed Time [s],Pressure [kPa],Diameter [px],Stress [kPa],Strain
0.0,2.49,151.0,0.0,0.0
0.1,2.53,151.67,0.04,0.00444
0.2,2.76,152.0,0.27,0.00662
0.3,2.34,153.0,-0.15,0.01325
0.4,3.59,154.0,1.1,0.01987
0.5,3.17,154.67,0.68,0.0243
0.6,3.17,155.0,0.68,0.02649
0.7,3.59,156.0,1.1,0.03311
0.8,2.76,156.67,0.27,0.03755
0.9,3.59,157.67,1.1,0.04417
1.0,3.93,158.33,1.44,0.04854
1.1,3.59,159.0,1.1,0.05298
1.2,3.93,160.0,1.44,0.0596
1.3,3.93,161.0,1.44,0.06623
1.4,4.76,161.33,2.27,0.06841
1.5,4.76,162.0,2.27,0.07285
1.6,5.52,163.0,3.03,0.07947
1.7,4.76,164.0,2.27,0.08609
1.8,6.34,164.67,3.85,0.09053
1.9,5.93,165.33,3.44,0.0949
2.0,6.69,166.0,4.2,0.09934
2.1,6.34,167.33,3.85,0.10815
2.2,6.69,167.67,4.2,0.1104
2.3,7.86,168.33,5.37,0.11477
2.4,7.1,169.67,4.61,0.12364
2.5,7.52,170.33,5.03,0.12801
2.6,7.1,171.0,4.61,0.13245
2.7,9.86,171.33,7.37,0.13464
2.8,9.86,172.33,7.37,0.14126
2.9,9.86,173.0,7.37,0.1457
3.0,9.86,174.33,7.37,0.1545
3.1,9.86,174.33,7.37,0.1545
3.2,10.27,175.67,7.78,0.16338
3.3,8.27,176.33,5.78,0.16775
3.4,10.69,177.0,8.2,0.17219
3.5,9.86,177.33,7.37,0.17437
3.6,9.1,178.67,6.61,0.18325
3.7,11.03,179.33,8.54,0.18762
3.8,10.69,180.33,8.2,0.19424
3.9,11.44,181.0,8.95,0.19868
4.0,11.44,181.67,8.95,0.20311
4.1,12.2,182.33,9.71,0.20748
4.2,11.44,182.67,8.95,0.20974
4.3,12.2,183.67,9.71,0.21636
4.4,13.45,183.67,10.96,0.21636
4.5,13.03,185.33,10.54,0.22735
4.6,13.03,185.33,10.54,0.22735
4.7,13.79,186.0,11.3,0.23179
4.8,13.45,187.0,10.96,0.23841
4.9,13.45,187.33,10.96,0.2406
5.0,14.62,188.33,12.13,0.24722
5.1,13.03,188.67,10.54,0.24947
5.2,13.03,190.0,10.54,0.25828
5.3,13.45,190.0,10.96,0.25828
5.4,14.62,191.67,12.13,0.26934
5.5,14.62,191.67,12.13,0.26934
5.6,14.2,192.33,11.71,0.27371
5.7,13.79,193.0,11.3,0.27815
5.8,15.03,193.33,12.54,0.28033
5.9,15.03,194.0,12.54,0.28477
6.0,15.37,195.33,12.88,0.29358
6.1,15.79,196.0,13.3,0.29801
6.2,15.37,196.33,12.88,0.3002
6.3,15.03,197.33,12.54,0.30682
6.4,16.96,199.0,14.47,0.31788
6.5,16.2,199.0,13.71,0.31788
6.6,16.96,200.33,14.47,0.32669
6.7,17.79,200.67,15.3,0.32894
6.8,18.54,201.33,16.05,0.33331
6.9,17.79,201.67,15.3,0.33556
7.0,17.37,202.67,14.88,0.34219
7.1,18.96,203.33,16.47,0.34656
7.2,17.79,203.33,15.3,0.34656
7.3,17.79,204.67,15.3,0.35543
7.4,17.79,205.33,15.3,0.3598
7.5,18.96,205.67,16.47,0.36205
7.6,18.54,206.0,16.05,0.36424
7.7,18.54,206.33,16.05,0.36642
7.8,19.72,207.33,17.23,0.37305
7.9,19.31,208.33,16.82,0.37967
8.0,19.31,209.0,16.82,0.38411
8.1,20.89,209.33,18.4,0.38629
8.2,20.89,209.67,18.4,0.38854
8.3,19.31,211.0,16.82,0.39735
8.4,22.47,211.0,19.98,0.39735
8.5,20.13,212.0,17.64,0.40397
8.6,21.72,212.33,19.23,0.40616
8.7,22.13,212.67,19.64,0.40841
8.8,21.72,213.67,19.23,0.41503
8.9,21.72,214.0,19.23,0.41722
9.0,22.13,214.67,19.64,0.42166
9.1,22.89,215.33,20.4,0.42603
9.2,22.89,216.0,20.4,0.43046
