Elapsed Time [s],Pressure [PSI]
0.1,0.00
0.2,1.00
0.3,0.00
0.4,2.00
0.5,0.00
0.6,5.00
0.7,0.57
0.8,0.52
0.9,0.40
1.0,0.46
1.1,0.52
1.2,0.40
1.3,0.34
1.4,0.52
1.5,0.40
1.6,0.46
1.7,0.52
1.8,0.52
1.9,0.52
2.0,0.52
2.1,0.46
2.2,0.46
2.3,0.52
2.4,0.40
2.5,0.46
2.6,0.46
2.7,0.46
2.8,0.52
2.9,0.52
3.0,0.57
3.1,0.40
3.2,0.46
3.3,0.34
3.4,0.46
3.5,0.46
3.6,0.52
3.7,0.46
3.8,0.46
3.9,0.52
4.0,0.34
4.1,0.57
4.2,0.52
4.3,0.57
4.4,0.46
4.5,0.52
4.6,0.40
4.7,0.46
4.8,0.46
4.9,0.40
5.0,0.57
5.1,0.46
5.2,0.40
5.3,0.46
5.4,0.52
5.5,0.52
5.6,0.52
5.7,0.57
5.8,0.52
5.9,0.52
6.0,0.52
6.1,0.46
6.2,0.52
6.3,0.52
6.4,0.52
6.5,0.40
6.6,0.57
6.7,0.46
6.8,0.46
6.9,0.52
7.0,0.46
7.1,0.63
7.2,0.40
7.3,0.46
7.4,0.40
7.5,0.52
7.6,0.52
7.7,0.80
7.8,0.80
7.9,0.74
8.0,0.97
8.1,1.03
8.2,1.14
8.3,1.26
8.4,1.43
8.5,1.43
8.6,1.49
8.7,1.83
8.8,1.83
8.9,1.95
9.0,2.18
9.1,2.29
9.2,2.40
9.3,2.46
9.4,2.69
9.5,2.92
9.6,3.15
9.7,3.26
9.8,3.43
9.9,3.49
10.0,3.72
10.1,3.89
10.2,4.06
10.3,4.29
10.4,4.35
10.5,4.58
10.6,4.87
10.7,4.81
10.8,4.98
10.9,4.98
11.0,4.98
11.1,5.15
11.2,5.04
11.3,4.98
11.4,5.04
11.5,4.87
11.6,4.87
11.7,4.87
11.8,4.92
11.9,4.92
12.0,5.04
12.1,4.98
12.2,5.15
12.3,5.15
12.4,5.27
12.5,5.72
12.6,5.95
12.7,5.72
12.8,5.95
12.9,6.01
13.0,6.01
13.1,6.12
13.2,6.07
13.3,6.24
13.4,6.35
13.5,6.35
13.6,6.35
13.7,6.47
13.8,6.41
13.9,6.35
14.0,6.58
14.1,6.53
14.2,6.47
14.3,6.64
14.4,6.93
14.5,7.10
14.6,7.38
14.7,7.67
14.8,7.73
14.9,8.13
15.0,8.19
15.1,8.53
15.2,8.47
15.3,8.70
15.4,8.99
15.5,9.10
15.6,9.22
15.7,9.33
15.8,9.45
15.9,9.56
16.0,9.73
16.1,9.90
16.2,10.13
16.3,10.36
16.4,10.48
16.5,10.76
16.6,10.99
16.7,11.11
16.8,11.45
16.9,11.68
17.0,11.91
17.1,12.19
17.2,12.59
17.3,13.22
17.4,13.85
17.5,14.25
17.6,14.65
17.7,14.88
17.8,15.11
17.9,15.51
18.0,15.80
18.1,16.03
18.2,16.54
18.3,17.00
18.4,17.46
18.5,18.15
18.6,18.72
18.7,19.23
18.8,19.81
18.9,20.03
19.0,20.26
19.1,20.66
19.2,20.55
19.3,20.72
19.4,20.95
19.5,21.24
19.6,21.81
19.7,22.61
19.8,23.01
19.9,23.53
20.0,23.93
20.1,24.27
20.2,24.61
20.3,25.19
20.4,25.53
20.5,25.70
20.6,25.70
20.7,26.27
20.8,27.13
20.9,27.59
21.0,28.51
21.1,29.59
21.2,30.28
21.3,31.31
21.4,32.23
21.5,32.57
21.6,32.80
21.7,33.32
21.8,34.63
21.9,34.86
22.0,35.49
22.1,36.18
22.2,36.98
22.3,38.01
22.4,38.64
22.5,39.10
22.6,39.55
22.7,40.24
22.8,40.99
22.9,40.99
23.0,41.44
23.1,42.59
23.2,43.28
23.3,43.50
23.4,44.31
23.5,44.42
23.6,44.48
23.7,44.82
23.8,45.16
23.9,46.37
24.0,47.97
24.1,50.09
24.2,51.40
24.3,51.58
24.4,52.61
24.5,53.69
24.6,53.87
24.7,55.35
24.8,56.15
24.9,56.50
25.0,57.01
25.1,57.30
25.2,56.90
25.3,57.59
25.4,59.02
25.5,60.68
25.6,61.76
25.7,63.65
25.8,66.92
25.9,66.57
26.0,67.43
26.1,69.78
26.2,70.98
26.3,73.56
26.4,73.84
26.5,75.33
26.6,77.16
26.7,75.85
26.8,79.17
26.9,81.06
27.0,80.43
27.1,77.68
27.2,78.59
27.3,84.03
27.4,81.06
27.5,85.63
27.6,83.97
27.7,82.20
27.8,82.43
27.9,80.88
28.0,83.34
28.1,85.18
28.2,85.46
28.3,91.36
28.4,91.70
28.5,91.13
28.6,95.08
28.7,90.16
28.8,61.19
28.9,20.72
29.0,8.76
29.1,5.38
29.2,4.18
29.3,3.66
29.4,3.21
29.5,2.80
29.6,2.46
29.7,2.18
29.8,2.12
29.9,1.89
30.0,1.83
30.1,1.60
30.2,1.55
30.3,1.43
30.4,1.26
30.5,1.20
30.6,1.14
30.7,1.09
30.8,1.14
30.9,1.09
31.0,1.03
31.1,0.97
31.2,0.92
31.3,0.80
31.4,0.80
31.5,0.86
31.6,0.74
31.7,0.69
31.8,0.80
31.9,0.69
32.0,0.69
32.1,0.57
32.2,0.69
32.3,0.63
32.4,0.52
32.5,0.69
32.6,0.46
32.7,0.46
32.8,0.46
32.9,0.52
33.0,0.40
33.1,0.57
33.2,0.46
33.3,0.46
33.4,0.52
33.5,0.34
33.6,0.52
33.7,0.52
33.8,0.57
33.9,0.46
34.0,0.46
34.1,0.40
34.2,0.52
34.3,0.46
34.4,0.52
34.5,0.52
34.6,0.46
34.7,0.34
34.8,0.57
34.9,0.40
35.0,0.46
35.1,0.52
35.2,0.46
35.3,0.46
35.4,0.34
35.5,0.52
35.6,0.46
35.7,0.46
35.8,0.46
35.9,0.46
36.0,0.46
36.1,0.34
36.2,0.52
36.3,0.57
36.4,0.46
36.5,0.46
36.6,0.52
36.7,0.52
36.8,0.52
36.9,0.46
37.0,0.40
37.1,799.00
