Elapsed Time [s],Pressure [PSI],Diameter [px]
0.1,0.0,187.0
0.2,1.0,187.0
0.3,0.0,185.66666666666666
0.4,2.0,185.0
0.5,0.0,184.6
0.6,5.0,183.8
0.7,0.57,183.0
0.8,0.52,183.0
0.9,0.4,183.0
1.0,0.46,183.0
1.1,0.52,183.0
1.2,0.4,183.8
1.3,0.34,183.8
1.4,0.52,183.8
1.5,0.4,183.8
1.6,0.46,183.8
1.7,0.52,183.0
1.8,0.52,183.8
1.9,0.52,183.8
2.0,0.52,184.6
2.1,0.46,184.6
2.2,0.46,184.6
2.3,0.52,184.6
2.4,0.4,184.6
2.5,0.46,183.8
2.6,0.46,183.8
2.7,0.46,184.6
2.8,0.52,184.6
2.9,0.52,185.4
3.0,0.57,186.2
3.1,0.4,187.0
3.2,0.46,187.0
3.3,0.34,187.0
3.4,0.46,186.2
3.5,0.46,186.2
3.6,0.52,185.4
3.7,0.46,184.6
3.8,0.46,183.8
3.9,0.52,183.8
4.0,0.34,183.0
4.1,0.57,183.0
4.2,0.52,183.0
4.3,0.57,183.0
4.4,0.46,183.0
4.5,0.52,183.0
4.6,0.4,183.0
4.7,0.46,183.0
4.8,0.46,183.0
4.9,0.4,183.0
5.0,0.57,183.0
5.1,0.46,183.0
5.2,0.4,183.0
5.3,0.46,183.8
5.4,0.52,183.8
5.5,0.52,183.8
5.6,0.52,183.8
5.7,0.57,184.6
5.8,0.52,184.6
5.9,0.52,185.4
6.0,0.52,185.4
6.1,0.46,185.4
6.2,0.52,184.6
6.3,0.52,183.8
6.4,0.52,183.0
6.5,0.4,183.0
6.6,0.57,183.0
6.7,0.46,0.0
6.8,0.46,183.0
6.9,0.52,183.0
7.0,0.46,183.0
7.1,0.63,183.0
7.2,0.4,183.0
7.3,0.46,183.0
7.4,0.4,183.0
7.5,0.52,183.0
7.6,0.52,183.0
7.7,0.8,183.0
7.8,0.8,183.0
7.9,0.74,183.0
8.0,0.97,183.0
8.1,1.03,183.0
8.2,1.14,183.0
8.3,1.26,183.0
8.4,1.43,183.0
8.5,1.43,177.6
8.6,1.49,172.0
8.7,1.83,172.0
8.8,1.83,172.8
8.9,1.95,173.6
9.0,2.18,179.0
9.1,2.29,184.6
9.2,2.4,184.6
9.3,2.46,183.8
9.4,2.69,183.0
9.5,2.92,183.0
9.6,3.15,183.8
9.7,3.26,184.6
9.8,3.43,185.4
9.9,3.49,186.2
10.0,3.72,187.0
10.1,3.89,187.0
10.2,4.06,187.0
10.3,4.29,186.2
10.4,4.35,185.4
10.5,4.58,185.4
10.6,4.87,185.4
10.7,4.81,185.4
10.8,4.98,186.2
10.9,4.98,187.0
11.0,4.98,187.0
11.1,5.15,187.0
