Elapsed Time [s],Pressure [PSI],Diameter [px],Stress,Strain
0.1,0.0,187.0,0.0,0.0
0.2,1.0,187.0,2992.0,0.0
0.3,0.0,185.66666666666663,0.0,-0.007130124777183803
0.4,2.0,185.0,5920.0,-0.0106951871657754
0.5,0.0,184.6,0.0,-0.012834224598930511
0.6,5.0,183.8,14704.0,-0.01711229946524058
0.7,0.57,183.0,1668.9599999999998,-0.0213903743315508
0.8,0.52,183.0,1522.56,-0.0213903743315508
0.9,0.4,183.0,1171.2,-0.0213903743315508
1.0,0.46,183.0,1346.88,-0.0213903743315508
1.1,0.52,183.0,1522.56,-0.0213903743315508
1.2,0.4,183.8,1176.3200000000002,-0.01711229946524058
1.3,0.34,183.8,999.8720000000002,-0.01711229946524058
1.4,0.52,183.8,1529.2160000000001,-0.01711229946524058
1.5,0.4,183.8,1176.3200000000002,-0.01711229946524058
1.6,0.46,183.8,1352.768,-0.01711229946524058
1.7,0.52,183.0,1522.56,-0.0213903743315508
1.8,0.52,183.8,1529.2160000000001,-0.01711229946524058
1.9,0.52,183.8,1529.2160000000001,-0.01711229946524058
2.0,0.52,184.6,1535.872,-0.012834224598930511
2.1,0.46,184.6,1358.656,-0.012834224598930511
2.2,0.46,184.6,1358.656,-0.012834224598930511
2.3,0.52,184.6,1535.872,-0.012834224598930511
2.4,0.4,184.6,1181.44,-0.012834224598930511
2.5,0.46,183.8,1352.768,-0.01711229946524058
2.6,0.46,183.8,1352.768,-0.01711229946524058
2.7,0.46,184.6,1358.656,-0.012834224598930511
2.8,0.52,184.6,1535.872,-0.012834224598930511
2.9,0.52,185.4,1542.528,-0.00855614973262029
3.0,0.57,186.2,1698.1439999999998,-0.004278074866310221
3.1,0.4,187.0,1196.8,0.0
3.2,0.46,187.0,1376.3200000000002,0.0
3.3,0.34,187.0,1017.2800000000001,0.0
3.4,0.46,186.2,1370.432,-0.004278074866310221
3.5,0.46,186.2,1370.432,-0.004278074866310221
3.6,0.52,185.4,1542.528,-0.00855614973262029
3.7,0.46,184.6,1358.656,-0.012834224598930511
3.8,0.46,183.8,1352.768,-0.01711229946524058
3.9,0.52,183.8,1529.2160000000001,-0.01711229946524058
4.0,0.34,183.0,995.5200000000001,-0.0213903743315508
4.1,0.57,183.0,1668.9599999999998,-0.0213903743315508
4.2,0.52,183.0,1522.56,-0.0213903743315508
4.3,0.57,183.0,1668.9599999999998,-0.0213903743315508
4.4,0.46,183.0,1346.88,-0.0213903743315508
4.5,0.52,183.0,1522.56,-0.0213903743315508
4.6,0.4,183.0,1171.2,-0.0213903743315508
4.7,0.46,183.0,1346.88,-0.0213903743315508
4.8,0.46,183.0,1346.88,-0.0213903743315508
4.9,0.4,183.0,1171.2,-0.0213903743315508
5.0,0.57,183.0,1668.9599999999998,-0.0213903743315508
5.1,0.46,183.0,1346.88,-0.0213903743315508
5.2,0.4,183.0,1171.2,-0.0213903743315508
5.3,0.46,183.8,1352.768,-0.01711229946524058
5.4,0.52,183.8,1529.2160000000001,-0.01711229946524058
5.5,0.52,183.8,1529.2160000000001,-0.01711229946524058
5.6,0.52,183.8,1529.2160000000001,-0.01711229946524058
5.7,0.57,184.6,1683.552,-0.012834224598930511
5.8,0.52,184.6,1535.872,-0.012834224598930511
5.9,0.52,185.4,1542.528,-0.00855614973262029
6.0,0.52,185.4,1542.528,-0.00855614973262029
6.1,0.46,185.4,1364.544,-0.00855614973262029
6.2,0.52,184.6,1535.872,-0.012834224598930511
6.3,0.52,183.8,1529.2160000000001,-0.01711229946524058
6.4,0.52,183.0,1522.56,-0.0213903743315508
6.5,0.4,183.0,1171.2,-0.0213903743315508
6.6,0.57,183.0,1668.9599999999998,-0.0213903743315508
6.7,0.46,0.0,0.0,-1.0
6.8,0.46,183.0,1346.88,-0.0213903743315508
6.9,0.52,183.0,1522.56,-0.0213903743315508
7.0,0.46,183.0,1346.88,-0.0213903743315508
7.1,0.63,183.0,1844.64,-0.0213903743315508
7.2,0.4,183.0,1171.2,-0.0213903743315508
7.3,0.46,183.0,1346.88,-0.0213903743315508
7.4,0.4,183.0,1171.2,-0.0213903743315508
7.5,0.52,183.0,1522.56,-0.0213903743315508
7.6,0.52,183.0,1522.56,-0.0213903743315508
7.7,0.8,183.0,2342.4,-0.0213903743315508
7.8,0.8,183.0,2342.4,-0.0213903743315508
7.9,0.74,183.0,2166.72,-0.0213903743315508
8.0,0.97,183.0,2840.16,-0.0213903743315508
8.1,1.03,183.0,3015.84,-0.0213903743315508
8.2,1.14,183.0,3337.9199999999996,-0.0213903743315508
8.3,1.26,183.0,3689.28,-0.0213903743315508
8.4,1.43,183.0,4187.04,-0.0213903743315508
8.5,1.43,177.6,4063.488,-0.050267379679144415
8.6,1.49,172.0,4100.48,-0.08021390374331551
8.7,1.83,172.0,5036.16,-0.08021390374331551
8.8,1.83,172.8,5059.584000000001,-0.07593582887700528
8.9,1.95,173.6,5416.32,-0.07165775401069521
9.0,2.18,179.0,6243.52,-0.0427807486631016
9.1,2.29,184.6,6763.744,-0.012834224598930511
9.2,2.4,184.6,7088.639999999999,-0.012834224598930511
9.3,2.46,183.8,7234.368,-0.01711229946524058
9.4,2.69,183.0,7876.32,-0.0213903743315508
9.5,2.92,183.0,8549.76,-0.0213903743315508
9.6,3.15,183.8,9263.52,-0.01711229946524058
9.7,3.26,184.6,9628.735999999999,-0.012834224598930511
9.8,3.43,185.4,10174.752,-0.00855614973262029
9.9,3.49,186.2,10397.408,-0.004278074866310221
10.0,3.72,187.0,11130.24,0.0
10.1,3.89,187.0,11638.880000000001,0.0
10.2,4.06,187.0,12147.519999999999,0.0
10.3,4.29,186.2,12780.768,-0.004278074866310221
10.4,4.35,185.4,12903.84,-0.00855614973262029
10.5,4.58,185.4,13586.112000000001,-0.00855614973262029
10.6,4.87,185.4,14446.368,-0.00855614973262029
10.7,4.81,185.4,14268.384,-0.00855614973262029
10.8,4.98,186.2,14836.416000000001,-0.004278074866310221
10.9,4.98,187.0,14900.160000000002,0.0
11.0,4.98,187.0,14900.160000000002,0.0
11.1,5.15,187.0,15408.800000000001,0.0
11.2,5.04,187.0,15079.68,0.0
11.3,4.98,187.0,14900.160000000002,0.0
11.4,5.04,187.0,15079.68,0.0
11.5,4.87,186.2,14508.704,-0.004278074866310221
11.6,4.87,186.2,14508.704,-0.004278074866310221
11.7,4.87,186.2,14508.704,-0.004278074866310221
11.8,4.92,185.4,14594.688,-0.00855614973262029
11.9,4.92,185.4,14594.688,-0.00855614973262029
12.0,5.04,185.4,14950.656,-0.00855614973262029
12.1,4.98,184.6,14708.928000000002,-0.012834224598930511
12.2,5.15,183.8,15145.120000000003,-0.01711229946524058
12.3,5.15,182.8,15062.720000000001,-0.02245989304812828
12.4,5.27,182.0,15346.239999999998,-0.026737967914438502
12.5,5.72,182.0,16656.64,-0.026737967914438502
12.6,5.95,181.6,17288.32,-0.028877005347593614
12.7,5.72,180.8,16546.816,-0.03315508021390368
12.8,5.95,180.0,17136.0,-0.0374331550802139
12.9,6.01,178.4,17154.944,-0.0459893048128342
13.0,6.01,176.6,16981.856,-0.055614973262032116
13.1,6.12,175.8,17214.336000000003,-0.05989304812834219
13.2,6.07,176.6,17151.392,-0.055614973262032116
13.3,6.24,177.4,17711.616,-0.05133689839572189
13.4,6.35,180.6,18348.96,-0.03422459893048131
13.5,6.35,184.0,18694.399999999998,-0.016042780748663103
13.6,6.35,186.8,18978.88,-0.0010695187165774794
13.7,6.47,188.4,19503.168,0.007486631016042811
13.8,6.41,191.8,19671.008,0.025668449197861022
13.9,6.35,191.8,19486.88,0.025668449197861022
14.0,6.58,191.8,20192.704,0.025668449197861022
14.1,6.53,191.8,20039.264000000003,0.025668449197861022
14.2,6.47,191.8,19855.136,0.025668449197861022
14.3,6.64,191.0,20291.84,0.0213903743315508
14.4,6.93,191.0,21178.079999999998,0.0213903743315508
14.5,7.1,191.8,21788.48,0.025668449197861022
14.6,7.38,191.8,22647.744000000002,0.025668449197861022
14.7,7.67,191.8,23537.696,0.025668449197861022
14.8,7.73,191.8,23721.824000000004,0.025668449197861022
14.9,8.13,191.0,24845.280000000002,0.0213903743315508
15.0,8.19,189.4,24818.976,0.012834224598930511
15.1,8.53,182.4,24893.951999999997,-0.024598930481283393
15.2,8.47,181.6,24610.432,-0.028877005347593614
15.3,8.7,180.8,25167.36,-0.03315508021390368
15.4,8.99,180.8,26006.272,-0.03315508021390368
15.5,9.1,180.8,26324.48,-0.03315508021390368
15.6,9.22,188.6,27822.272,0.00855614973262029
15.7,9.33,189.4,28273.632,0.012834224598930511
15.8,9.45,190.2,28758.239999999994,0.01711229946524058
15.9,9.56,191.0,29215.36,0.0213903743315508
16.0,9.73,191.0,29734.88,0.0213903743315508
16.1,9.9,190.2,30127.68,0.01711229946524058
16.2,10.13,190.2,30827.616,0.01711229946524058
16.3,10.36,190.2,31527.551999999996,0.01711229946524058
16.4,10.48,189.4,31758.592,0.012834224598930511
16.5,10.76,190.2,32744.832,0.01711229946524058
16.6,10.99,190.2,33444.768,0.01711229946524058
16.7,11.11,189.4,33667.744,0.012834224598930511
16.8,11.45,188.0,34441.6,0.0053475935828877
16.9,11.68,188.8,35282.944,0.009625668449197922
17.0,11.91,188.8,35977.728,0.009625668449197922
17.1,12.19,188.8,36823.552,0.009625668449197922
17.2,12.59,189.6,38193.024,0.013903743315507991
17.3,13.22,190.2,40231.104,0.01711229946524058
17.4,13.85,190.2,42148.32,0.01711229946524058
17.5,14.25,190.2,43365.6,0.01711229946524058
17.6,14.65,189.4,44395.36,0.012834224598930511
17.7,14.88,187.8,44711.424000000006,0.004278074866310221
17.8,15.11,187.0,45209.119999999995,0.0
17.9,15.51,185.4,46008.864,-0.00855614973262029
