Timestamp [hr:min:sec.ms],Pressure [PSI]
13:29:22.49,1.0
13:29:22.80,18.0
13:29:23.05,2.0
13:29:23.30,18.0
13:29:23.56,5.0
13:29:23.81,0.52
13:29:24.06,0.34
13:29:24.31,0.57
13:29:24.56,0.46
13:29:24.81,0.52
13:29:25.06,0.46
13:29:25.31,0.46
13:29:25.56,0.46
13:29:25.81,0.52
13:29:26.06,0.52
13:29:26.32,0.52
13:29:26.57,0.52
13:29:26.82,0.57
13:29:27.07,0.52
13:29:27.32,0.4
13:29:27.57,0.46
13:29:27.82,0.63
13:29:28.07,0.46
13:29:28.33,0.46
13:29:28.58,0.46
13:29:28.83,0.46
13:29:29.08,0.57
13:29:29.33,0.46
13:29:29.58,0.34
13:29:29.83,0.46
13:29:30.08,0.63
13:29:30.33,0.63
13:29:30.58,0.34
13:29:30.84,0.52
13:29:31.09,0.4
13:29:31.34,0.46
