 
Results Sensor2
06/13/2024 13:47:18
Time[s];Pressure[psi]
0.1;0.29
0.2;0.40
0.3;0.52
0.4;0.40
0.5;0.57
0.6;0.34
0.7;0.46
0.8;0.57
0.9;0.63
1.0;0.57
1.1;0.52
1.2;0.57
1.3;0.57
1.4;0.52
1.5;0.46
1.6;0.52
1.7;0.40
1.8;0.52
1.9;0.52
2.0;0.57
2.1;0.52
2.2;0.52
2.3;0.57
2.4;0.46
2.5;0.52
2.6;0.52
2.7;0.52
2.8;0.52
2.9;0.46
3.0;0.40
3.1;0.40
3.2;0.63
3.3;0.69
3.4;0.74
3.5;0.69
3.6;0.63
3.7;0.74
3.8;0.69
3.9;0.69
4.0;0.80
4.1;0.74
4.2;0.52
4.3;0.74
4.4;0.80
4.5;0.80
4.6;0.80
4.7;0.80
4.8;0.92
4.9;0.86
5.0;0.80
5.1;0.86
5.2;0.74
5.3;0.80
5.4;0.92
5.5;0.97
5.6;0.97
5.7;1.03
5.8;1.03
5.9;0.97
6.0;0.86
6.1;1.03
6.2;1.03
6.3;0.86
6.4;0.97
6.5;1.14
6.6;0.97
6.7;1.09
6.8;1.09
6.9;1.09
7.0;1.14
7.1;1.14
7.2;1.09
7.3;1.14
7.4;1.20
7.5;1.26
7.6;1.20
7.7;1.26
7.8;1.09
7.9;1.20
8.0;1.09
8.1;1.14
8.2;1.32
8.3;1.14
8.4;1.20
8.5;1.49
8.6;1.49
8.7;1.43
8.8;1.43
8.9;1.26
9.0;1.20
9.1;1.26
9.2;1.26
9.3;1.49
9.4;1.26
9.5;1.26
9.6;1.43
9.7;1.43
9.8;1.49
9.9;1.43
10.0;1.43
10.1;1.49
10.2;1.43
10.3;1.43
10.4;1.66
10.5;1.55
10.6;1.55
10.7;1.55
10.8;1.55
10.9;1.49
11.0;1.43
11.1;1.49
11.2;1.55
11.3;1.60
11.4;1.66
11.5;1.43
11.6;1.72
11.7;1.60
11.8;1.60
11.9;1.66
12.0;1.55
12.1;1.66
12.2;1.60
12.3;1.66
12.4;1.55
12.5;1.77
12.6;1.55
12.7;1.55
12.8;1.60
12.9;1.60
13.0;1.55
13.1;1.77
13.2;1.77
13.3;1.72
13.4;1.66
13.5;1.72
13.6;1.89
13.7;1.72
13.8;1.72
13.9;1.77
14.0;1.77
14.1;1.60
14.2;1.60
14.3;1.83
14.4;1.77
14.5;1.66
14.6;1.60
14.7;1.66
14.8;1.72
14.9;1.77
15.0;1.66
15.1;1.77
15.2;1.83
15.3;1.77
15.4;1.66
15.5;1.66
15.6;1.83
15.7;1.60
15.8;1.66
15.9;1.72
16.0;1.77
16.1;1.72
16.2;1.72
16.3;1.66
16.4;1.77
16.5;1.66
16.6;1.60
16.7;1.72
16.8;1.72
16.9;1.72
17.0;1.83
17.1;1.72
17.2;1.83
17.3;1.89
17.4;1.89
17.5;1.83
17.6;1.83
17.7;1.83
17.8;1.66
17.9;1.77
18.0;1.83
18.1;1.95
18.2;1.83
18.3;1.66
18.4;1.83
18.5;1.89
18.6;1.72
18.7;1.83
18.8;1.77
18.9;1.89
19.0;1.77
19.1;1.83
19.2;1.95
19.3;1.83
19.4;1.77
19.5;1.72
19.6;1.77
19.7;1.89
19.8;1.83
19.9;1.95
20.0;1.89
20.1;1.89
20.2;1.83
20.3;1.77
20.4;1.89
20.5;1.77
20.6;2.00
20.7;1.77
20.8;1.83
20.9;1.83
21.0;1.89
21.1;1.95
21.2;1.83
21.3;1.89
21.4;1.83
21.5;1.95
21.6;1.89
21.7;1.72
21.8;1.89
21.9;1.89
22.0;1.72
22.1;1.89
22.2;1.66
22.3;1.83
22.4;1.77
22.5;1.89
22.6;1.77
22.7;1.89
22.8;1.77
22.9;1.89
23.0;1.83
23.1;1.89
23.2;1.83
23.3;1.77
23.4;0.46
23.5;0.57
23.6;0.63
23.7;0.46
23.8;0.46
23.9;0.46
24.0;0.63
24.1;0.52
No Limits selected
